"country","year","iso_code","population","gdp","gdp_per_capita","poverty_rate","gini_index","income_top1","income_top10","income_bottom50"
"Albania","1996","ALB","3245680","12468867839.0","3841.68","2.967841178","27.01034248","8.13","32.53","18.91"
"Albania","2002","ALB","3134095","17037279441.0","5436.11","4.194722325","31.73897862","8.61","33.59","18.08"
"Albania","2005","ALB","3076156","20562850324.0","6684.59","2.650217526","30.59565425","8.41","33.09","18.52"
"Albania","2008","ALB","2992933","25006230217.0","8355.09","0.827307906","29.98467088","8.57","33.03","18.68"
"Albania","2012","ALB","2910003","27819814441.0","9560.06","1.794590242","28.96048427","8.54","32.97","19.11"
"Albania","2014","ALB","2903748","28597169040.0","9848.36","3.676139563","34.59889591","9.59","35.54","17.24"
"Albania","2015","ALB","2898634","29231663899.0","10084.63","1.114864182","32.7537328","9.62","35.21","17.65"
"Albania","2016","ALB","2897868","30200694449.0","10421.69","1.140619721","33.73629749","9.33","35.77","16.49"
"Albania","2017","ALB","2898245","31348975722.0","10816.54","1.44444406","33.05566311","9.48","35.45","17.06"
"Albania","2018","ALB","2894229","32609000823.0","11266.9","1.010029484","30.14828265","9.29","35.03","17.49"
"Albania","2019","ALB","2885011","33289747424.0","11538.86","0.272369455","30.11576831","9.33","34.48","18.32"
"Albania","2020","ALB","2871950","32130726850.0","11187.77","0.340922456","29.41963077","9.33","34.48","18.34"
"Algeria","1988","DZA","24109538","115822000000.0","4803.98","12.26300001","37.35699356","15.72","46.6","15.08"
"Algeria","1995","DZA","28470194","145055000000.0","5094.97","11.80699989","35.33005416","15.72","46.6","15.08"
"Algeria","2011","DZA","36903374","482029000000.0","13061.91","0.0","27.61573195","15.93","43.27","18.55"
"Angola","2000","AGO","16194873","23512184116.0","1451.83","26.95463896","51.9451499","22.0","58.03","9.15"
"Angola","2008","AGO","21578656","105593000000.0","4893.41","22.07958251","42.71551371","15.3","49.32","12.23"
"Angola","2018","AGO","31297160","162550000000.0","5193.76","39.29470479","51.26428604","25.98","58.01","9.04"
"Armenia","1999","ARM","3167282","14850694858.0","4688.78","21.16912305","36.21972501","17.39","44.17","15.68"
"Armenia","2001","ARM","3084350","16184137401.0","5247.18","24.14123416","35.36435962","14.71","42.31","17.02"
"Armenia","2002","ARM","3055636","18018113990.0","5896.68","19.7662279","34.77967381","16.01","42.91","16.84"
"Armenia","2003","ARM","3038976","19928773567.0","6557.73","14.84504938","33.02808702","17.02","42.55","17.53"
"Armenia","2004","ARM","3022544","21350959248.0","7063.9","10.34797281","37.50563264","18.8","45.67","16.14"
"Armenia","2005","ARM","3006360","23626538545.0","7858.85","6.114460155","35.99235415","18.33","45.0","16.48"
"Armenia","2006","ARM","2990371","25937834265.0","8673.78","4.513620585","29.70998585","13.15","37.77","19.32"
"Armenia","2007","ARM","2974825","28610365796.0","9617.5","3.69028002","31.22605681","12.83","38.41","18.56"
"Armenia","2008","ARM","2959996","29672467967.0","10024.5","2.005504444","29.18814123","12.59","36.96","19.33"
"Armenia","2009","ARM","2945518","24704739187.0","8387.23","3.114195727","28.0158788","12.19","36.37","19.74"
"Armenia","2010","ARM","2931083","24485670654.0","8353.8","2.944504283","29.99258339","14.76","39.12","18.78"
"Armenia","2011","ARM","2923269","24860520809.0","8504.36","3.129605576","29.35294509","13.26","37.29","19.48"
"Armenia","2012","ARM","2922529","26634064691.0","9113.36","2.498792857","29.60226238","13.58","37.7","19.63"
"Armenia","2013","ARM","2922526","27542825799.0","9424.32","2.946781181","30.57966232","13.87","37.99","19.06"
"Armenia","2014","ARM","2922433","28536291283.0","9764.57","3.437587246","31.4832896","14.24","39.16","18.57"
"Armenia","2015","ARM","2921179","29464863299.0","10086.63","2.852397226","32.35677183","15.04","40.56","18.03"
"Armenia","2016","ARM","2918796","29522321034.0","10114.55","2.51599513","32.54794776","16.53","39.83","17.36"
"Armenia","2017","ARM","2914966","31741802974.0","10889.25","2.362477779","33.62183869","18.72","43.5","16.83"
"Armenia","2018","ARM","2909971","33400320594.0","11477.89","2.896632254","34.43349898","17.46","43.74","16.74"
"Armenia","2019","ARM","2903975","35949092334.0","12379.27","2.427800372","30.03121316","15.0","39.6","18.59"
"Armenia","2020","ARM","2890893","33378378959.0","11546.04","1.516591851","25.13160408","15.0","39.6","18.59"
"Armenia","2021","ARM","2870339","35275596129.0","12289.7","2.118089423","27.94013023","15.0","39.6","18.59"
"Armenia","2022","ARM","2880880","39721734780.0","13788.06","1.896881498","27.94529498","15.0","39.6","18.59"
"Armenia","2023","ARM","2943398","27542825799.0","9424.32","1.928025857","27.15465128","15.0","39.6","18.59"
"Australia","1981","AUS","14949210","348727000000.0","23327.44","0.993503071","31.32469356","5.27","24.79","19.5"
"Australia","1985","AUS","15835743","391229000000.0","24705.46","1.00130979","32.496351","5.99","25.52","19.27"
"Australia","1989","AUS","16869362","457176000000.0","27100.98","0.744274957","33.15186799","7.57","27.53","18.65"
"Australia","1995","AUS","18095340","549039000000.0","30341.44","0.992731471","32.57850111","7.88","30.87","18.47"
"Australia","2001","AUS","19365438","713890000000.0","36864.13","0.992064923","33.46192837","8.94","31.71","18.63"
"Australia","2003","AUS","19819449","774451000000.0","39075.3","0.997330714","33.4967494","9.48","32.61","18.13"
"Australia","2004","AUS","20046679","809792000000.0","40395.34","0.712537207","33.05571973","9.92","33.29","18.07"
"Australia","2008","AUS","21370595","937890000000.0","43886.92","0.669452967","35.42850912","10.51","34.31","17.28"
"Australia","2010","AUS","22141583","993854000000.0","44886.31","0.34916841","34.65672731","10.73","34.87","17.65"
"Australia","2014","AUS","23595599","1113890000000.0","47207.45","0.498483796","34.39816236","10.73","34.86","17.5"
"Australia","2016","AUS","24329963","1169970000000.0","48087.51","0.498741772","33.68518651","9.66","33.74","17.43"
"Australia","2018","AUS","25119700","1231580000000.0","49028.33","0.497093983","34.33252573","9.67","33.76","17.82"
"Australia","2020","AUS","25743787","1232260000000.0","47866.3","0.989207905","33.82901847","10.02","34.06","17.73"
"Austria","1994","AUT","7938157","229749000000.0","28942.4","0.230914843","30.82801998","9.17","31.3","23.22"
"Austria","1995","AUT","7950322","236824000000.0","29788.03","0.0","29.91432846","9.08","31.17","22.99"
"Austria","1996","AUT","7960917","243481000000.0","30584.51","0.0","29.31780815","9.13","31.3","22.97"
"Austria","1997","AUT","7969804","249847000000.0","31349.24","0.24598348","29.06536758","9.36","31.72","22.79"
"Austria","1998","AUT","7978465","259776000000.0","32559.69","0.239445129","31.34077191","9.67","32.21","22.8"
"Austria","1999","AUT","7993894","270186000000.0","33799.07","0.22600505","29.6705395","8.8","30.97","23.44"
"Austria","2000","AUT","8012929","280410000000.0","34994.71","0.244631991","28.96469235","9.69","32.24","22.91"
"Austria","2003","AUT","8122604","294489000000.0","36255.53","0.373226614","29.46562767","9.53","32.17","22.87"
"Austria","2004","AUT","8173496","303692000000.0","37155.76","0.081652886","29.78884578","9.64","32.61","22.9"
"Austria","2005","AUT","8229204","311441000000.0","37845.84","0.153690099","28.71520817","9.37","32.05","23.03"
"Austria","2006","AUT","8269901","323237000000.0","39085.95","0.145327172","29.58756089","9.94","32.84","22.65"
"Austria","2007","AUT","8296948","336304000000.0","40533.46","0.381421158","30.57945073","9.77","32.67","22.6"
"Austria","2008","AUT","8323250","342893000000.0","41196.95","0.509100128","30.43709397","9.59","32.53","22.52"
"Austria","2009","AUT","8345073","331119000000.0","39678.39","0.688482216","31.49490654","8.64","31.31","22.8"
"Austria","2010","AUT","8365087","338832000000.0","40505.53","0.519623375","30.25166392","9.58","32.57","22.37"
"Austria","2011","AUT","8393272","349713000000.0","41665.93","0.476821745","30.80105782","9.35","32.23","22.44"
"Austria","2012","AUT","8431599","352093000000.0","41758.76","0.671515195","30.47561646","9.27","31.79","22.8"
"Austria","2013","AUT","8481411","352183000000.0","41524.09","0.337997847","30.7529062","8.97","31.55","23.04"
"Austria","2014","AUT","8547812","354512000000.0","41473.98","0.224260218","30.53537309","8.77","31.15","23.18"
"Austria","2015","AUT","8644037","358108000000.0","41428.36","0.684607308","30.53083122","8.83","31.26","23.06"
"Austria","2016","AUT","8737920","365233000000.0","41798.59","0.664063543","30.79513907","9.78","32.67","22.6"
"Austria","2017","AUT","8798779","373482000000.0","42446.99","0.349729788","29.73693013","9.06","31.58","23.02"
"Austria","2018","AUT","8841653","382540000000.0","43265.67","0.568358367","30.84742129","9.01","31.64","22.94"
"Austria","2019","AUT","8880876","388345000000.0","43728.19","0.646644458","30.21051586","8.92","31.33","23.26"
"Austria","2020","AUT","8921402","363281000000.0","40720.18","0.738606509","29.80069816","8.92","31.33","23.26"
"Austria","2021","AUT","8967053","379835000000.0","42358.98","0.485822186","30.70168197","8.98","31.29","23.32"
"Austria","2022","AUT","9064678","398815000000.0","43996.64","0.643973798","30.89292943","8.99","31.33","23.34"
"Austria","2023","AUT","9130434","338832000000.0","40533.46","0.5282233","31.20467961","8.9","31.75","23.19"
"Azerbaijan","1995","AZE","7719283","23188276303.0","3003.94","19.65492219","34.64882374","15.89","42.87","14.82"
"Azerbaijan","2001","AZE","8251776","36862177017.0","4467.18","11.39801219","36.45493686","15.98","43.63","15.63"
"Azerbaijan","2002","AZE","8326141","40295217200.0","4839.6","0.242402172","25.27766526","13.92","38.05","20.2"
"Azerbaijan","2003","AZE","8400528","44994637993.0","5356.17","0.248747738","26.83287859","13.29","37.45","20.26"
"Azerbaijan","2004","AZE","8489874","50107477354.0","5902.03","0.046829687","26.62159204","14.26","38.34","20.53"
"Azerbaijan","2005","AZE","8597248","64019175136.0","7446.47","0.0","26.55490637","14.7","39.16","19.49"
"Bangladesh","1983","BGD","95335162","84456198492.0","885.89","47.1450001","25.87648928","11.64","36.52","19.97"
"Bangladesh","1985","BGD","100253825","91717608984.0","914.85","41.4079994","26.91749632","13.0","38.91","18.98"
"Bangladesh","1988","BGD","107216011","102457000000.0","955.62","51.1070013","28.84654701","14.3","40.54","18.14"
"Bangladesh","1991","BGD","113787112","117332000000.0","1031.15","51.2078464","27.57080495","12.58","38.54","18.86"
"Bangladesh","1995","BGD","122600372","145833000000.0","1189.5","43.3907479","32.94298351","16.71","44.88","16.25"
"Bangladesh","2000","BGD","134544303","200824000000.0","1492.63","41.37348831","33.40653181","16.23","44.49","15.85"
"Bangladesh","2005","BGD","144715789","280264000000.0","1936.65","32.3163271","33.20129216","16.77","45.48","15.16"
"Bangladesh","2010","BGD","152201978","400088000000.0","2628.66","25.1185894","32.13031888","16.36","43.63","16.06"
